
In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

Each chunk is: 1789569706
Iterations: 20

Time is: 20.745340 secs

Time is: 20.720858 secs

Time is: 20.746091 secs

Time is: 20.743715 secs

Time is: 20.744778 secs

Time is: 20.749938 secs

Time is: 20.746112 secs

Time is: 20.743634 secs

Time is: 20.747134 secs

Time is: 20.747873 secs

Time is: 20.744838 secs

Time is: 20.741937 secs

Time is: 20.745987 secs
Nodes: 24
Time is: 20.733070 secs

Time is: 20.744054 secs

Time is: 20.742728 secs

Time is: 20.750236 secs

Time is: 20.721844 secs

Time is: 20.751062 secs

Time is: 20.730627 secs

Time is: 20.750946 secs

Time is: 20.746920 secs

Time is: 20.743013 secs

Time is: 20.732196 secs
