
In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

Each chunk is: 1342177280
Iterations: 20
Nodes: 32
Time is: 19.007088 secs

Time is: 19.006139 secs

Time is: 18.997668 secs

Time is: 18.978435 secs

Time is: 19.006674 secs

Time is: 19.007707 secs

Time is: 19.007287 secs

Time is: 19.005128 secs

Time is: 19.003421 secs

Time is: 19.006438 secs

Time is: 18.998430 secs

Time is: 19.001110 secs

Time is: 19.003195 secs

Time is: 18.986179 secs

Time is: 19.005969 secs

Time is: 19.000414 secs

Time is: 18.999397 secs

Time is: 18.999360 secs

Time is: 19.004001 secs

Time is: 19.007164 secs

Time is: 19.001100 secs

Time is: 19.002100 secs

Time is: 18.991626 secs

Time is: 19.007865 secs

Time is: 18.998251 secs

Time is: 18.999677 secs

Time is: 18.919092 secs

Time is: 18.972808 secs

Time is: 18.971627 secs

Time is: 19.007002 secs

Time is: 19.002166 secs

Time is: 18.999263 secs
