
In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

In READ-WRITE mode.

Each chunk is: 2147483648
Iterations: 20

Time is: 36.180348 secs
Nodes: 20
Time is: 36.194413 secs

Time is: 36.190830 secs

Time is: 36.184658 secs

Time is: 36.177957 secs

Time is: 36.165874 secs

Time is: 36.187494 secs

Time is: 36.181183 secs

Time is: 36.194897 secs

Time is: 36.173833 secs

Time is: 36.179443 secs

Time is: 36.175134 secs

Time is: 36.187515 secs

Time is: 36.176271 secs

Time is: 36.174323 secs

Time is: 36.171760 secs

Time is: 36.161923 secs

Time is: 36.176985 secs

Time is: 36.183164 secs

Time is: 36.168715 secs
