id bmark dir freq nodes cores pkg-clamp-0 pkg-clamp-1 dram-clamp-0 dram-clamp-1 avg-time avg-pkg-0 avg-pp0-0 avg-dram-0 avg-pkg-1 avg-pp0-1 avg-dram-1 tot-pkg-0 tot-pp0-0 tot-dram-0 tot-pkg-1 tot-pp0-1 tot-dram-1
2 spmz 2012_07_27_15_45_36_072833005  2601.000 32 16 51.000000 51.000000 0.000000 0.000000 8.48656671875 49.8882323125 36.30870815625 6.0149666875 50.208927375 36.55969165625 5.6830028125 1596.423434 1161.878661 192.478934 1606.685676 1169.910133 181.85609
3 spmz 2012_07_27_15_51_41_721557154  2601.000 32 16 65.000000 65.000000 0.000000 0.000000 8.05252828125 57.4580925 43.8224875625 5.797485875 59.6879410625 46.031200375 5.1522693125 1838.65896 1402.319602 185.519548 1910.014114 1472.998412 164.872618
4 spmz 2012_07_27_15_57_42_691037695  2601.000 32 16 80.000000 80.000000 0.000000 0.000000 7.39069465625 64.57793025 50.9481188125 6.08171196875 64.25781559375 50.55076975 5.84267509375 2066.493768 1630.339802 194.614783 2056.250099 1617.624632 186.965603
5 spmz 2012_07_27_16_03_31_723628301  2601.000 32 16 95.000000 95.000000 0.000000 0.000000 5.17859571875 66.470332375 52.601354625 6.94297734375 67.1265999375 53.2813159375 6.512994875 2127.050636 1683.243348 222.175275 2148.051198 1705.00211 208.415836
1 spmz 2012_12_31_00_13_13_930075684  2601.000 32 16 115.000000 115.000000 0.000000 0.000000 4.2844143125 82.99285359375 69.13108321875 6.79428165625 82.29419784375 68.47556328125 6.2271134375 2655.771315 2212.194663 217.417013 2633.414331 2191.218025 199.26763
7 btmz 2012_07_27_15_48_24_095886626  2601.000 32 16 51.000000 51.000000 0.000000 0.000000 9.4331443125 49.2913195 35.89457815625 5.49268984375 49.69540871875 36.31481090625 5.1594379375 1577.322224 1148.626501 175.766075 1590.253079 1162.073949 165.102014
8 btmz 2012_07_27_15_57_10_798301145  2601.000 32 16 65.000000 65.000000 0.000000 0.000000 8.88479115625 61.01741934375 47.58318465625 5.4653735625 62.1204896875 48.7257874375 4.75028521875 1952.557419 1522.661909 174.891954 1987.85567 1559.225198 152.009127
9 btmz 2012_07_27_16_05_38_656820029  2601.000 32 16 80.000000 80.000000 0.000000 0.000000 6.97971028125 71.29776865625 57.75914915625 6.0116613125 71.57037290625 58.0723718125 5.73406434375 2281.528597 1848.292773 192.373162 2290.251933 1858.315898 183.490059
10 btmz 2012_07_27_16_14_04_147971102  2601.000 32 16 95.000000 95.000000 0.000000 0.000000 6.238145125 69.947478375 56.400387125 6.082498 70.82595665625 57.3528109375 5.5772365 2238.319308 1804.812388 194.639936 2266.430613 1835.28995 178.471568
6 btmz 2012_07_27_09_50_35_806839061  2601.000 32 16 115.000000 115.000000 0.000000 0.000000 6.12854525 50.55997834375 37.14494965625 5.6077899375 50.5729659375 37.1739034375 5.3295861875 1617.919307 1188.638389 179.449278 1618.33491 1189.56491 170.546758
12 lumz 2013_01_02_15_57_47_535068042  2601.000 32 16 51.000000 51.000000 0.000000 0.000000 11.337705 50.24521440625 36.54518628125 6.80348553125 50.42826090625 36.7916045 6.7722410625 1607.846861 1169.445961 217.711537 1613.704349 1177.331344 216.711714
13 lumz 2013_01_02_16_08_19_946642492  2601.000 32 16 65.000000 65.000000 0.000000 0.000000 13.230600875 59.83605196875 46.18288034375 6.31793034375 60.88128103125 47.33395684375 5.63098209375 1914.753663 1477.852171 202.173771 1948.200993 1514.686619 180.191427
14 lumz 2013_01_02_16_18_47_913310236  2601.000 32 16 80.000000 80.000000 0.000000 0.000000 10.04189475 64.00980559375 50.2535489375 7.0009661875 64.4924010625 50.834485875 6.68978490625 2048.313779 1608.113566 224.030918 2063.756834 1626.703548 214.073117
15 lumz 2013_01_02_16_29_10_175582364  2601.000 32 16 95.000000 95.000000 0.000000 0.000000 9.9750788125 64.5253394375 50.759065125 6.87449803125 64.99618815625 51.295470875 6.839058 2064.810862 1624.290084 219.983937 2079.878021 1641.455068 218.849856
11 lumz 2013_01_02_15_47_02_345101927  2601.000 32 16 115.000000 115.000000 0.000000 0.000000 9.314312375 80.1904269375 66.39850759375 6.99707890625 80.74471653125 67.010636625 6.95725534375 2566.093662 2124.752243 223.906525 2583.830929 2144.340372 222.632171
17 sphot 2012_07_31_01_04_32_585219854  2601.000 32 16 51.000000 51.000000 0.000000 0.000000 40.9455781875 48.8610773125 35.5875619375 5.1647893125 49.38554653125 36.15025078125 5.20993184375 1563.554474 1138.801982 165.273258 1580.337489 1156.808025 166.717819
18 sphot 2012_07_31_01_48_18_056140295  2601.000 32 16 65.000000 65.000000 0.000000 0.000000 33.63554084375 62.883631125 49.59013196875 5.22114315625 63.25630340625 49.986896875 5.43450346875 2012.276196 1586.884223 167.076581 2024.201709 1599.5807 173.904111
19 sphot 2012_07_31_02_31_32_639225089  2601.000 32 16 80.000000 80.000000 0.000000 0.000000 33.8240985 64.90487428125 51.60642115625 5.08367475 65.48909553125 52.2063005 5.38090959375 2076.955977 1651.405477 162.677592 2095.651057 1670.601616 172.189107
20 sphot 2012_07_31_03_14_54_132777607  2601.000 32 16 95.000000 95.000000 0.000000 0.000000 34.4055314375 64.41861453125 51.12030084375 5.1263595 65.0552303125 51.77366296875 5.3524461875 2061.395665 1635.849627 164.043504 2081.76737 1656.757215 171.278278
16 sphot 2012_12_28_18_15_09_853256364  2601.000  32 16 115.000000 115.000000 0.000000 0.000000 33.66185575 76.167348875 62.79372340625 4.9965619375 77.74309528125 64.443632125 4.8303976875 2437.355164 2009.399149 159.889982 2487.779049 2062.196228 154.572726
